date,m_winner,m_country,m_time,f_winner,f_country,f_time,marathon
1925,Charles Mellor (USA),USA,02:33:00,NaN,NaN,NaN,Boston
1926,Johnny Miles (CAN),CAN,02:25:40,NaN,NaN,NaN,Boston
1927,Clarence DeMar -5-,USA,02:40:22,NaN,NaN,NaN,Boston
1928,Clarence DeMar -6-,USA,02:37:07,NaN,NaN,NaN,Boston
1929,Johnny Miles -2-,USA,02:33:08,NaN,NaN,NaN,Boston
1930,Clarence DeMar -7-,USA,02:34:48,NaN,NaN,NaN,Boston
1931,James Henigan (USA),USA,02:46:45,NaN,NaN,NaN,Boston
1932,Paul de Bruyn (GER),GER,02:33:36,NaN,NaN,NaN,Boston
1933,Leslie S. Pawson (USA),USA,02:31:01,NaN,NaN,NaN,Boston
1934,Dave Komonen (CAN),CAN,02:32:53,NaN,NaN,NaN,Boston
1935,Johnny Kelley (USA),USA,02:32:07,NaN,NaN,NaN,Boston
1936,Ellison Brown (USA),USA,02:33:40,NaN,NaN,NaN,Boston
1937,Walter Young (CAN),CAN,02:33:20,NaN,NaN,NaN,Boston
1938,Leslie S. Pawson -2-,USA,02:35:34,NaN,NaN,NaN,Boston
1939,Ellison Brown -2-,USA,02:28:51,NaN,NaN,NaN,Boston
1940,Gérard Côté (CAN),CAN,02:28:28,NaN,NaN,NaN,Boston
1941,Leslie S. Pawson -3-,USA,02:30:38,NaN,NaN,NaN,Boston
1942,Joe Smith (USA),USA,02:26:51,NaN,NaN,NaN,Boston
1943,Gérard Côté -2-,CAN,02:28:26,NaN,NaN,NaN,Boston
1944,Gérard Côté -3-,CAN,02:31:51,NaN,NaN,NaN,Boston
1945,Johnny Kelley -2-,USA,02:30:40,NaN,NaN,NaN,Boston
1946,Stylianos Kyriakidis (GRE),GRE,02:29:27,NaN,NaN,NaN,Boston
1947,Suh Yun-bok (KOR),KOR,02:25:39,NaN,NaN,NaN,Boston
1948,Gérard Côté -4-,CAN,02:31:02,NaN,NaN,NaN,Boston
1948,Gérard Côté -4-,CAN,02:31:02,NaN,NaN,NaN,Boston
1949,Karl Gösta Leandersson (SWE),SWE,02:31:50,NaN,NaN,NaN,Boston
1950,Ham Kee-yong (KOR),KOR,02:32:39,NaN,NaN,NaN,Boston
1951,Shigeki Tanaka (JPN),JPN,02:27:45,NaN,NaN,NaN,Boston
1952,Doroteo Flores (GUA),GUA,02:31:53,NaN,NaN,NaN,Boston
1953,Keizo Yamada (JPN),JPN,02:18:51,NaN,NaN,NaN,Boston
1954,Veikko Karvonen (FIN),FIN,02:20:39,NaN,NaN,NaN,Boston
1955,Hideo Hamamura (JPN),JPN,02:18:22,NaN,NaN,NaN,Boston
1956,Antti Viskari (FIN),FIN,02:14:14,NaN,NaN,NaN,Boston
1957,John J. Kelley (USA),USA,02:20:05,NaN,NaN,NaN,Boston
1958,Franjo Mihalić (YUG),YUG,02:25:54,NaN,NaN,NaN,Boston
1959,Eino Oksanen (FIN),FIN,02:22:42,NaN,NaN,NaN,Boston
1960,Paavo Kotila (FIN),FIN,02:20:54,NaN,NaN,NaN,Boston
1961,Eino Oksanen -2-,FIN,02:23:29,NaN,NaN,NaN,Boston
1962,Eino Oksanen -3-,FIN,02:23:48,NaN,NaN,NaN,Boston
1963,Aurèle Vandendriessche (BEL),BEL,02:18:58,NaN,NaN,NaN,Boston
1964,Aurèle Vandendriessche -2-,BEL,02:19:59,NaN,NaN,NaN,Boston
1965,Morio Shigematsu (JPN),JPN,02:16:33,NaN,NaN,NaN,Boston
1966,Kenji Kimihara (JPN),JPN,02:17:11,Roberta Louise Gibb (USA),USA,03:21:40,Boston
1967,Dave McKenzie (NZL),NZL,02:15:45,Roberta Louise Gibb -2-,USA,03:27:17,Boston
1968,Amby Burfoot (USA),USA,02:22:17,Roberta Louise Gibb -3-,USA,03:30:00,Boston
1969,Yoshiaki Unetani (JPN),JPN,02:13:49,Sara Mae Berman (USA),USA,03:22:46,Boston
1970,Ron Hill (GBR),GBR,02:10:30,Sara Mae Berman -2-,USA,03:05:07,Boston
1971,Alvaro Mejia Flores (COL),COL,02:18:45,Sara Mae Berman -3-,USA,03:08:30,Boston
1972,Olavi Suomalainen (FIN),FIN,02:15:39,Nina Kuscsik (USA),USA,03:10:26,Boston
1973,Jon Anderson (USA),USA,02:16:03,Jacqueline Hansen (USA),USA,03:05:59,Boston
1974,Neil Cusack (IRL),IRL,02:13:39,Miki Gorman (USA),USA,02:47:11,Boston
1975,Bill Rodgers (USA),USA,02:09:55,Liane Winter (FRG),GER,02:42:24,Boston
1976,Jack Fultz (USA),USA,02:20:19,Kim Merritt (USA),USA,02:47:10,Boston
1977,Jerome Drayton (CAN),CAN,02:14:46,Miki Gorman -2-,USA,02:48:33,Boston
1978,Bill Rodgers -2-,USA,02:10:13,Gayle Barron (USA),USA,02:44:52,Boston
1979,Bill Rodgers -3-,USA,02:09:27,Joan Benoit (USA),USA,02:35:15,Boston
1980,Bill Rodgers -4-,USA,02:12:11,Jacqueline Gareau (CAN),CAN,02:34:28,Boston
1981,Toshihiko Seko (JPN),JPN,02:09:26,Allison Roe (NZL),NZL,02:26:46,Boston
1982,Alberto Salazar (USA),USA,02:08:52,Charlotte Teske (GER),GER,02:29:33,Boston
1983,Greg Meyer (USA),USA,02:09:00,Joan Benoit -2-,USA,02:22:43,Boston
1984,Geoff Smith (GBR),GBR,02:10:34,Lorraine Moller (NZL),NZL,02:29:28,Boston
1985,Geoff Smith -2-,GBR,02:14:05,Lisa Weidenbach (USA),USA,02:34:06,Boston
1986,Robert de Castella (AUS),AUS,02:07:51,Ingrid Kristiansen (NOR),NOR,02:24:55,Boston
1987,Toshihiko Seko -2-,JPN,02:11:50,Rosa Mota (POR),POR,02:25:21,Boston
1988,Ibrahim Hussein (KEN),KEN,02:08:43,Rosa Mota -2-,POR,02:24:30,Boston
1989,Abebe Mekonnen (ETH),ETH,02:09:06,Ingrid Kristiansen -2-,NOR,02:24:33,Boston
1990,Gelindo Bordin (ITA),ITA,02:08:19,Rosa Mota -3-,POR,02:25:24,Boston
1991,Ibrahim Hussein -2-,KEN,02:11:06,Wanda Panfil (POL),POL,02:24:18,Boston
1992,Ibrahim Hussein -3-,KEN,02:08:14,Olga Markowa (RUS),RUS,02:23:43,Boston
1993,Cosmas Ndeti (KEN),KEN,02:09:33,Olga Markowa -2-,RUS,02:25:27,Boston
1994,Cosmas Ndeti -2-,KEN,02:07:15,Uta Pippig (GER),GER,02:21:45,Boston
1995,Cosmas Ndeti -3-,KEN,02:09:22,Uta Pippig -2-,GER,02:25:11,Boston
1996,Moses Tanui (KEN),KEN,02:09:15,Uta Pippig -3-,GER,02:27:12,Boston
1997,Lameck Aguta (KEN),KEN,02:10:34,Fatuma Roba (ETH),ETH,02:26:23,Boston
1998,Moses Tanui -2-,KEN,02:07:34,Fatuma Roba -2-,ETH,02:23:21,Boston
1999,Joseph Chebet (KEN),KEN,02:09:52,Fatuma Roba -3-,ETH,02:23:25,Boston
2000,Elijah Lagat (KEN),KEN,02:09:47,Catherine Ndereba (KEN),KEN,02:26:11,Boston
2001,Lee Bong-ju (KOR),KOR,02:09:43,Catherine Ndereba -2-,KEN,02:23:53,Boston
2002,Rodgers Rop (KEN),KEN,02:09:02,Margaret Okayo (KEN),KEN,02:20:43,Boston
2003,Robert Kipkoech Cheruiyot (KEN),KEN,02:10:11,Swetlana Sacharowa (RUS),RUS,02:25:20,Boston
2004,Timothy Cherigat (KEN),KEN,02:10:37,Catherine Ndereba -3-,KEN,02:24:27,Boston
2005,Hailu Negussie (ETH),ETH,02:11:45,Catherine Ndereba -4-,KEN,02:25:13,Boston
2006,Robert Kipkoech Cheruiyot,KEN,02:07:14,Rita Jeptoo Sitienei (KEN),KEN,02:23:38,Boston
2007,Robert Kipkoech Cheruiyot,KEN,02:14:13,Lidija Grigorjewa (RUS),RUS,02:29:18,Boston
2008,Robert Kipkoech Cheruiyot,KEN,02:07:46,Dire Tune (ETH),ETH,02:25:25,Boston
2009,Deriba Merga (ETH),ETH,02:08:42,Salina Jebet Kosgei (KEN),KEN,02:32:16,Boston
2010,Robert Kiprono Cheruiyot,KEN,02:05:52,Teyba Erkesso (ETH),ETH,02:26:11,Boston
2011,Geoffrey Kiprono Mutai,KEN,02:03:02,Caroline Cheptanui Kilel (KEN),KEN,02:22:36,Boston
2012,Wesley Korir ,KEN,02:12:40,Sharon Jemutai Cherop (KEN),KEN,02:31:50,Boston
2013,Lelisa Desisa ,ETH,02:10:22,Rita Jeptoo Sitienei -2-,KEN,02:26:25,Boston
2014,Meb Keflezighi ,USA,02:08:37,Bizunesh Deba (ETH),ETH,02:19:59,Boston
2015,Lelisa Desisa -2-,ETH,02:09:17,Caroline Rotich (KEN),KEN,02:24:55,Boston
2016,Lemi Berhanu ,ETH,02:12:45,Atsede Baysa (ETH),ETH,02:29:19,Boston
2017,Geoffrey Kirui ,KEN,02:09:37,Edna Kiplagat (KEN),KEN,02:21:52,Boston
1974,Günter Hallas (GER),GER,02:44:53,Jutta von Haase (GER),GER,03:22:01,Berlin
1975,Ralf Bochröder (GER),GER,02:47:08,Kristin Bochröder (GER),GER,03:59:15,Berlin
1976,Ingo Sensburg (GER),GER,02:23:08,Ursula Blaschke (GER),GER,03:05:19,Berlin
1977,Günter Mielke (GER),GER,02:15:19,Christa Vahlensieck (GER),GER,02:34:48,Berlin
1978,Michael Spöttel (GER),GER,02:20:03,Ursula Blaschke (2. Sieg),GER,02:57:09,Berlin
1979,Ingo Sensburg (2. Sieg),GER,02:21:09,Jutta von Haase (2. Sieg),GER,03:07:07,Berlin
1980,Ingo Sensburg (3. Sieg),GER,02:16:48,Gerlinde Püttmann (GER),GER,02:47:18,Berlin
1981,Ian Ray (GBR),GBR,02:15:42,Angelika Stephan (GER),GER,02:47:24,Berlin
1982,Domingo Tibaduiza (COL),COL,02:14:47,Jean Lochhead (GBR),GBR,02:47:05,Berlin
1983,Karel Lismont (BEL),BEL,02:13:37,Karen Goldhawk (GBR),GBR,02:40:32,Berlin
